[2018/1/16 - 16:37:48] {F4A460}Senior Administrator{FFFFFF} Nicole Trey is now off duty.
[2018/1/16 - 16:37:57] {F4A460}Senior Administrator{FFFFFF} Nicole Trey is now on duty.
[2018/1/16 - 16:49:43] {298EFF}Executive Administrator{FFFFFF} Ahmed Hussain. is now on duty.
[2018/1/16 - 16:52:42] {00FF00}Junior Administrator{FFFFFF} Scott Casso is now on duty.
[2018/1/16 - 16:58:08] {F4A460}Senior Administrator{FFFFFF} Mitch Makaveli is now on duty.
[2018/1/16 - 17:09:32] {298EFF}Executive Administrator{FFFFFF} Jackson Dread is now on duty.
[2018/1/16 - 17:23:17] {00FF00}General Administrator{FFFFFF} Arturo Waters is now on duty.
[2018/1/16 - 17:31:50] {00FF00}General Administrator{FFFFFF} Nikola Ziwic is now on duty.
[2018/1/16 - 17:32:00] {00FF00}General Administrator{FFFFFF} Nikola Ziwic is now off duty.
[2018/1/16 - 17:32:07] {00FF00}General Administrator{FFFFFF} Nikola Ziwic is now on duty.
[2018/1/16 - 17:43:18] {00FF00}General Administrator{FFFFFF} Kevin Dios Brank is now on duty.
[2018/1/16 - 17:46:30] {00FF00}General Administrator{FFFFFF} Kobe Mece is now off duty.
[2018/1/16 - 17:46:38] {00FF00}General Administrator{FFFFFF} Kobe Mece is now on duty.
[2018/1/16 - 17:46:54] {00FF00}General Administrator{FFFFFF} Kobe Mece is now off duty.
[2018/1/16 - 17:48:27] {00FF00}General Administrator{FFFFFF} Kobe Mece is now on duty.
[2018/1/16 - 17:48:29] {00FF00}General Administrator{FFFFFF} Kobe Mece is now off duty.
[2018/1/16 - 17:48:31] {00FF00}General Administrator{FFFFFF} Kevin Dios Brank is now off duty.
[2018/1/16 - 17:56:56] {00FF00}General Administrator{FFFFFF} Kobe Mece is now on duty.
[2018/1/16 - 17:57:10] {00FF00}General Administrator{FFFFFF} Kobe Mece is now off duty.
[2018/1/16 - 18:00:33] {FF0000}Head Administrator{FFFFFF} Kevin Kush is now on duty.
[2018/1/16 - 18:04:22] {F4A460}Senior Administrator{FFFFFF} Mitch Makaveli is now on duty.
[2018/1/16 - 18:13:15] {00FF00}Junior Administrator{FFFFFF} Scott Casso is now off duty.
[2018/1/16 - 18:14:21] {00FF00}General Administrator{FFFFFF} Yuri Ben is now on duty.
[2018/1/16 - 18:15:03] {00FF00}General Administrator{FFFFFF} Yuri Ben is now off duty.
[2018/1/16 - 18:17:59] {298EFF}Executive Administrator{FFFFFF} Matt Honest is now on duty.
[2018/1/16 - 18:19:46] {00FF00}General Administrator{FFFFFF} Yuri Ben is now on duty.
[2018/1/16 - 18:20:20] {F4A460}Senior Administrator{FFFFFF} Mitch Makaveli is now on duty.
[2018/1/16 - 18:21:41] {F4A460}Senior Administrator{FFFFFF} Mitch Makaveli is now off duty.
[2018/1/16 - 18:21:42] {F4A460}Senior Administrator{FFFFFF} Mitch Makaveli is now on duty.
[2018/1/16 - 18:23:17] {00FF00}General Administrator{FFFFFF} Kobe Mece is now on duty.
[2018/1/16 - 18:26:48] {00FF00}Junior Administrator{FFFFFF} Scott Casso is now on duty.
[2018/1/16 - 18:27:09] {00FF00}General Administrator{FFFFFF} Yuri Ben is now off duty.
[2018/1/16 - 18:33:32] {00FF00}General Administrator{FFFFFF} Kara Danvers is now on duty.
[2018/1/16 - 18:34:38] {FF0000}Head Administrator{FFFFFF} Kevin Kush is now off duty.
[2018/1/16 - 18:34:40] {FF0000}Head Administrator{FFFFFF} Kevin Kush is now on duty.
[2018/1/16 - 18:34:42] {FF0000}Head Administrator{FFFFFF} Kevin Kush is now off duty.
[2018/1/16 - 18:34:43] {FF0000}Head Administrator{FFFFFF} Kevin Kush is now on duty.
[2018/1/16 - 18:42:11] {298EFF}Executive Administrator{FFFFFF} Paul Duffster is now on duty.
[2018/1/16 - 18:47:15] {298EFF}Executive Administrator{FFFFFF} Captainthrillss is now on duty.
[2018/1/16 - 18:49:52] {298EFF}Executive Administrator{FFFFFF} Matt Honest is now off duty.
[2018/1/16 - 18:49:54] {298EFF}Executive Administrator{FFFFFF} Paul Duffster is now off duty.
[2018/1/16 - 18:49:59] {298EFF}Executive Administrator{FFFFFF} Matt Honest is now on duty.
[2018/1/16 - 18:50:02] {298EFF}Executive Administrator{FFFFFF} Paul Duffster is now on duty.
[2018/1/16 - 18:50:17] {298EFF}Executive Administrator{FFFFFF} Paul Duffster is now off duty.
[2018/1/16 - 18:50:23] {298EFF}Executive Administrator{FFFFFF} Paul Duffster is now on duty.
[2018/1/16 - 18:50:32] {FF0000}Head Administrator{FFFFFF} Abdul Naveed is now on duty.
[2018/1/16 - 18:50:51] {00FF00}General Administrator{FFFFFF} Trent Wolf is now on duty.
[2018/1/16 - 18:50:53] {F4A460}Senior Administrator{FFFFFF} Robert Caber is now on duty.
[2018/1/16 - 18:51:02] {00FF00}General Administrator{FFFFFF} Scott Goodman is now on duty.
[2018/1/16 - 18:51:02] {298EFF}Executive Administrator{FFFFFF} Captainthrillss is now off duty.
[2018/1/16 - 18:51:03] {298EFF}Executive Administrator{FFFFFF} Captainthrillss is now on duty.
[2018/1/16 - 18:51:54] {00FF00}General Administrator{FFFFFF} Kevin Dios Brank is now on duty.
[2018/1/16 - 18:55:40] {00FF00}General Administrator{FFFFFF} Nikola Ziwic is now on duty.
[2018/1/16 - 18:55:45] {FF0000}Head Administrator{FFFFFF} Abdul Naveed is now off duty.
[2018/1/16 - 18:55:59] {00FF00}Junior Administrator{FFFFFF} Scott Casso is now off duty.
[2018/1/16 - 18:56:00] {00FF00}Junior Administrator{FFFFFF} Scott Casso is now on duty.
[2018/1/16 - 18:56:37] {00FF00}General Administrator{FFFFFF} Trent Wolf is now off duty.
[2018/1/16 - 18:57:45] {00FF00}General Administrator{FFFFFF} Nikola Ziwic is now off duty.
[2018/1/16 - 18:57:46] {00FF00}General Administrator{FFFFFF} Nikola Ziwic is now on duty.
[2018/1/16 - 18:58:38] {00FF00}General Administrator{FFFFFF} Trent Wolf is now on duty.
[2018/1/16 - 18:59:43] {298EFF}Executive Administrator{FFFFFF} Paul Duffster is now off duty.
[2018/1/16 - 18:59:44] {298EFF}Executive Administrator{FFFFFF} Paul Duffster is now on duty.
[2018/1/16 - 18:59:45] {298EFF}Executive Administrator{FFFFFF} Paul Duffster is now off duty.
[2018/1/16 - 18:59:53] {00FF00}Junior Administrator{FFFFFF} Scott Casso is now off duty.
[2018/1/16 - 18:59:58] {00FF00}Junior Administrator{FFFFFF} Scott Casso is now on duty.
[2018/1/16 - 19:00:06] {298EFF}Executive Administrator{FFFFFF} Paul Duffster is now on duty.
