[2018/1/2 - 17:21:22] AdmCmd: Marcus Lokson(1000550361) (IP:109.186.30.232) was kicked by Samantha Rivera, reason: anim exploit
[2018/1/2 - 17:21:31] AdmCmd: Simon Perry(1000373547) (IP:188.50.46.14) was kicked by Doc Kanaan, reason: tabbed in event
[2018/1/2 - 17:22:15] AdmCmd: Timmy Fanatic(1000065258) (IP:39.50.149.77) was silent kicked by Hooligan Maddox, reason: pl
[2018/1/2 - 18:03:05] AdmCmd: Derek Lancer(1000129064) (IP:79.181.3.6) was kicked by Liam Crawford, reason: Car Surfing
[2018/1/2 - 18:41:58] AdmCmd: Rafed Richman(1000625344) (IP:160.157.113.129) was kicked by Benedetto Urban, reason: Boat Ramming
[2018/1/2 - 19:14:16] AdmCmd: Nito Montana(1000625334) (IP:66.130.116.32) was kicked by Martin Powers, reason: non rp driving
[2018/1/2 - 19:18:09] AdmCmd: Nito Montana(1000625334) (IP:66.130.116.32) was kicked by Doc Kanaan, reason: non rp behaviour
[2018/1/2 - 20:50:44] AdmCmd: Robert Carl(1000625078) (IP:109.67.54.254) was kicked by Roy Gucci Cobra, reason: Car Surfing
[2018/1/2 - 20:55:19] AdmCmd: Aidan Freeman(1000624997) (IP:68.173.95.157) was kicked by Nicole Trey, reason: Metagaming
[2018/1/2 - 21:04:21] AdmCmd: Shakira Speed(1000427529) (IP:156.210.149.225) was kicked by Liam Crawford, reason: Desynced
[2018/1/2 - 21:11:12] AdmCmd: Jamie Nelson(1000502087) (IP:39.51.65.153) was kicked by Robert Caber, reason: Spamming
[2018/1/2 - 21:13:59] AdmCmd: Tifa Kusnetsov(1000397973) (IP:41.35.120.76) was silent kicked by Hooligan Maddox, reason: move
[2018/1/2 - 21:30:43] AdmCmd: John Danzie(1000526486) (IP:197.43.47.28) was silent kicked by Jerome Mcwill, reason: desynced
[2018/1/2 - 21:33:11] AdmCmd: Haylie Isfit(1000625385) (IP:94.8.196.181) was silent kicked by Jerome Mcwill, reason: Spamming
[2018/1/2 - 21:51:57] AdmCmd: John Danzie(1000526486) (IP:207.189.20.9) was silent kicked by Lexy Kanon, reason: imp
[2018/1/2 - 21:56:09] AdmCmd: Jay Flowers Bluman(1000427202) (IP:173.178.20.10) was kicked by Robert Caber, reason: Metagaming
[2018/1/2 - 22:30:15] AdmCmd: Tony Brooks(1000625272) (IP:197.1.29.87) was silent kicked by Paul Duffster, reason: .
[2018/1/2 - 22:58:03] AdmCmd: Ten Penny Pound(1000625414) (IP:89.238.166.139) was silent kicked by Keith Lawrence, reason: nope
[2018/1/2 - 23:35:46] AdmCmd: Steven Chaos(1000151809) (IP:206.74.107.128) was kicked by Jack Chaos, reason: Dsync
[2018/1/3 - 0:15:22] AdmCmd: Lenoy J. Meyers(1000625427) (IP:41.227.77.71) was silent kicked by Leroy J. Meyers, reason: Change your name
[2018/1/3 - 0:27:42] AdmCmd: Cognac Leesmith Bear(27634) (IP:86.52.184.146) was kicked by Martin Powers, reason: desynced
[2018/1/3 - 2:23:03] AdmCmd: Zac Ho Atac(1000345543) (IP:172.73.127.2) was kicked by Huang Ho Chaos, reason: Desync
[2018/1/3 - 3:50:57] AdmCmd: Cognac Leesmith Bear(27634) (IP:86.52.184.146) was silent kicked by Lexy Kanon, reason: dsnc
[2018/1/3 - 5:45:32] AdmCmd: Kaya Dios Hunt(872940) (IP:173.170.66.12) was kicked by Doc Kanaan, reason: car surfing
[2018/1/3 - 6:07:55] AdmCmd: Dwayne Forest(1000625126) (IP:166.62.248.63) was silent kicked by Jerome Mcwill, reason: Ramming
[2018/1/3 - 6:11:53] AdmCmd: Alexander Winchester(1000625231) (IP:122.2.241.238) was silent kicked by Jerome Mcwill, reason: Ramming
[2018/1/3 - 6:22:13] AdmCmd: Mahid Macaagal(1000625267) (IP:112.206.119.92) was kicked by Vladimir Greaves, reason: English in public chats only
[2018/1/3 - 7:15:09] AdmCmd: Harlem Newton(1000625225) (IP:112.206.119.92) was silent kicked by Jerome Mcwill, reason: Car Surf
[2018/1/3 - 7:37:22] AdmCmd: Rory Pond(1000181901) (IP:68.227.149.163) was silent kicked by Jerome Mcwill, reason: Tab during rp
[2018/1/3 - 7:53:08] AdmCmd: Koroashi Vi. Sanji(1000625119) (IP:122.2.241.238) was kicked by Samantha Rivera, reason: metagaming
[2018/1/3 - 7:56:10] AdmCmd: Koroashi Vi. Sanji(1000625119) (IP:122.2.241.238) was kicked by Samantha Rivera, reason: random punching
[2018/1/3 - 8:33:24] AdmCmd: Wayne Dios Hunt(159038) (IP:213.112.74.92) was kicked by Samantha Rivera, reason: boat ramming
[2018/1/3 - 9:05:43] AdmCmd: Danny Fisher(1000136004) (IP:39.38.64.178) was silent kicked by Jerome Mcwill, reason: Fix your attitude
[2018/1/3 - 9:06:01] AdmCmd: Erick Diablo(1000218786) (IP:173.33.38.117) was silent kicked by Jerome Mcwill, reason: Excessively Flaming
[2018/1/3 - 9:11:53] AdmCmd: Martin Mello(1000624815) (IP:123.2.133.46) was silent kicked by Jerome Mcwill, reason: Metagaming
[2018/1/3 - 9:11:56] AdmCmd: Danny Fisher(1000136004) (IP:39.38.64.178) was silent kicked by Jerome Mcwill, reason: Metagaming
[2018/1/3 - 9:12:07] AdmCmd: Alvarez Cruz(1000153505) (IP:123.2.133.46) was silent kicked by Jerome Mcwill, reason: Metagaming
[2018/1/3 - 9:29:37] AdmCmd: Tyrell Michalz(1000625295) (IP:180.191.148.152) was kicked by Nicole Trey, reason: Metagaming
[2018/1/3 - 10:07:31] AdmCmd: Mahid Macaagal(1000625267) (IP:112.206.119.92) was kicked by Nicole Trey, reason: metagaming
[2018/1/3 - 11:02:26] AdmCmd: Darren Knox Vlacic(1000207688) (IP:139.0.43.6) was kicked by Jerome Mcwill, reason: Cop Baiting
[2018/1/3 - 11:18:12] AdmCmd: Mahid Macaagal(1000625267) (IP:112.206.119.92) was kicked by Andrew Furino, reason: Random Shooting
